Time (usec),Events Raised,Messages Generated,Messages Delivered,Average Delivery Time (usec),Frames Transmitted,Frames Received,Bytes Received (Physical),Bytes Received (Application),Efficiency (AL/PL)
10000000,0,0,0,0,0,0,0,0,1
20000000,3,1,1,2509207,2,2,82,50,0.6097560975609756
30000000,6,2,2,2509207,4,4,164,100,0.6097560975609756
40000000,6,2,2,2509207,4,4,164,100,0.6097560975609756
50000000,9,3,3,2509207,6,6,246,150,0.6097560975609756
60000000,10,4,3,2509207,7,6,246,150,0.6097560975609756
70000000,12,4,4,2509207,8,8,328,200,0.6097560975609756
80000000,15,5,5,2509207,10,10,410,250,0.6097560975609756
90000000,16,6,5,2509207,11,10,410,250,0.6097560975609756
100000000,18,6,6,2509207,12,12,492,300,0.6097560975609756
110000000,21,7,7,2509207,14,14,574,350,0.6097560975609756
120000000,21,7,7,2509207,14,14,574,350,0.6097560975609756
130000000,24,8,8,2509207,16,16,656,400,0.6097560975609756
140000000,27,9,9,2509207,18,18,738,450,0.6097560975609756
150000000,28,10,9,2509207,19,18,738,450,0.6097560975609756
160000000,30,10,10,2509207,20,20,820,500,0.6097560975609756
170000000,33,11,11,2509207,22,22,902,550,0.6097560975609756
180000000,35,12,12,2509207,24,23,968,600,0.6198347107438017
190000000,36,12,12,2509207,24,24,984,600,0.6097560975609756
200000000,39,13,13,2509207,26,26,1066,650,0.6097560975609756
210000000,40,14,13,2509207,27,26,1066,650,0.6097560975609756
220000000,42,14,14,2509207,28,28,1148,700,0.6097560975609756
230000000,45,15,15,2509207,30,30,1230,750,0.6097560975609756
240000000,46,16,15,2509207,31,30,1230,750,0.6097560975609756
250000000,48,16,16,2509207,32,32,1312,800,0.6097560975609756
260000000,51,17,17,2509207,34,34,1394,850,0.6097560975609756
270000000,53,18,18,2509207,36,35,1460,900,0.6164383561643836
280000000,54,18,18,2509207,36,36,1476,900,0.6097560975609756
290000000,57,19,19,2509207,38,38,1558,950,0.6097560975609756
300000000,58,20,19,2509207,39,38,1558,950,0.6097560975609756
310000000,60,20,20,2509207,40,40,1640,1000,0.6097560975609756
320000000,62,21,21,2509207,42,41,1706,1050,0.6154747948417351
330000000,64,22,21,2509207,43,42,1722,1050,0.6097560975609756
340000000,66,22,22,2509207,44,44,1804,1100,0.6097560975609756
350000000,69,23,23,2509207,46,46,1886,1150,0.6097560975609756
360000000,71,24,24,2509207,48,47,1952,1200,0.6147540983606558
370000000,72,24,24,2509207,48,48,1968,1200,0.6097560975609756
380000000,75,25,25,2509207,50,50,2050,1250,0.6097560975609756
390000000,78,26,26,2509207,52,52,2132,1300,0.6097560975609756
400000000,79,27,26,2509207,53,52,2132,1300,0.6097560975609756
410000000,81,27,27,2509207,54,54,2214,1350,0.6097560975609756
420000000,84,28,28,2509207,56,56,2296,1400,0.6097560975609756
430000000,86,29,29,2509207,58,57,2362,1450,0.6138865368331922
440000000,87,29,29,2509207,58,58,2378,1450,0.6097560975609756
450000000,90,30,30,2509207,60,60,2460,1500,0.6097560975609756
460000000,91,31,30,2509207,61,60,2460,1500,0.6097560975609756
470000000,93,31,31,2509207,62,62,2542,1550,0.6097560975609756
480000000,96,32,32,2509207,64,64,2624,1600,0.6097560975609756
490000000,97,33,32,2509207,65,64,2624,1600,0.6097560975609756
500000000,99,33,33,2509207,66,66,2706,1650,0.6097560975609756
510000000,102,34,34,2509207,68,68,2788,1700,0.6097560975609756
520000000,103,35,34,2509207,69,68,2788,1700,0.6097560975609756
530000000,105,35,35,2509207,70,70,2870,1750,0.6097560975609756
540000000,108,36,36,2509207,72,72,2952,1800,0.6097560975609756
550000000,110,37,37,2509207,74,73,3018,1850,0.6129887342611001
560000000,111,37,37,2509207,74,74,3034,1850,0.6097560975609756
570000000,114,38,38,2509207,76,76,3116,1900,0.6097560975609756
580000000,116,39,39,2509207,78,77,3182,1950,0.6128221244500315
590000000,117,39,39,2509207,78,78,3198,1950,0.6097560975609756
600000000,120,40,40,2509207,80,80,3280,2000,0.6097560975609756
610000000,121,41,40,2509207,81,80,3280,2000,0.6097560975609756
620000000,123,41,41,2509207,82,82,3362,2050,0.6097560975609756
630000000,126,42,42,2509207,84,84,3444,2100,0.6097560975609756
640000000,127,43,42,2509207,85,84,3444,2100,0.6097560975609756
650000000,129,43,43,2509207,86,86,3526,2150,0.6097560975609756
660000000,132,44,44,2509207,88,88,3608,2200,0.6097560975609756
670000000,134,45,45,2509207,90,89,3674,2250,0.6124115405552532
680000000,136,46,45,2509207,91,90,3690,2250,0.6097560975609756
690000000,138,46,46,2509207,92,92,3772,2300,0.6097560975609756
700000000,141,47,47,2509207,94,94,3854,2350,0.6097560975609756
710000000,142,48,47,2509207,95,94,3854,2350,0.6097560975609756
720000000,144,48,48,2509207,96,96,3936,2400,0.6097560975609756
730000000,147,49,49,2509207,98,98,4018,2450,0.6097560975609756
740000000,148,50,49,2509207,99,98,4018,2450,0.6097560975609756
750000000,150,50,50,2509207,100,100,4100,2500,0.6097560975609756
760000000,153,51,51,2509207,102,102,4182,2550,0.6097560975609756
770000000,155,52,52,2509207,104,103,4248,2600,0.6120527306967984
780000000,156,52,52,2509207,104,104,4264,2600,0.6097560975609756
790000000,159,53,53,2509207,106,106,4346,2650,0.6097560975609756
800000000,162,54,54,2509207,108,108,4428,2700,0.6097560975609756
810000000,165,55,55,2509207,110,110,4510,2750,0.6097560975609756
820000000,166,56,55,2509207,111,110,4510,2750,0.6097560975609756
830000000,168,56,56,2509207,112,112,4592,2800,0.6097560975609756
840000000,170,57,57,2509207,114,113,4658,2850,0.6118505796479176
850000000,171,57,57,2509207,114,114,4674,2850,0.6097560975609756
860000000,174,58,58,2509207,116,116,4756,2900,0.6097560975609756
870000000,175,59,58,2509207,117,116,4756,2900,0.6097560975609756
880000000,177,59,59,2509207,118,118,4838,2950,0.6097560975609756
890000000,180,60,60,2509207,120,120,4920,3000,0.6097560975609756
900000000,183,61,61,2509207,122,122,5002,3050,0.6097560975609756
910000000,184,62,61,2509207,123,122,5002,3050,0.6097560975609756
920000000,186,62,62,2509207,124,124,5084,3100,0.6097560975609756
930000000,188,63,63,2509207,126,125,5150,3150,0.6116504854368932
940000000,190,64,63,2509207,127,126,5166,3150,0.6097560975609756
950000000,192,64,64,2509207,128,128,5248,3200,0.6097560975609756
960000000,195,65,65,2509207,130,130,5330,3250,0.6097560975609756
970000000,197,66,66,2509207,132,131,5396,3300,0.6115641215715345
980000000,198,66,66,2509207,132,132,5412,3300,0.6097560975609756
990000000,201,67,67,2509207,134,134,5494,3350,0.6097560975609756
1000000000,203,68,68,2509207,136,135,5560,3400,0.6115107913669064
1010000000,204,68,68,2509207,136,136,5576,3400,0.6097560975609756
1020000000,207,69,69,2509207,138,138,5658,3450,0.6097560975609756
1030000000,209,70,70,2509207,140,139,5724,3500,0.6114605171208944
1040000000,210,70,70,2509207,140,140,5740,3500,0.6097560975609756
1050000000,213,71,71,2509207,142,142,5822,3550,0.6097560975609756
1060000000,216,72,72,2509207,144,144,5904,3600,0.6097560975609756
1070000000,217,73,72,2509207,145,144,5904,3600,0.6097560975609756
1080000000,219,73,73,2509207,146,146,5986,3650,0.6097560975609756
1090000000,222,74,74,2509207,148,148,6068,3700,0.6097560975609756
1100000000,223,75,74,2509207,149,148,6068,3700,0.6097560975609756
1110000000,225,75,75,2509207,150,150,6150,3750,0.6097560975609756
1120000000,228,76,76,2509207,152,152,6232,3800,0.6097560975609756
1130000000,228,76,76,2509207,152,152,6232,3800,0.6097560975609756
1140000000,231,77,77,2509207,154,154,6314,3850,0.6097560975609756
1150000000,233,78,78,2509207,156,155,6380,3900,0.6112852664576802
1160000000,235,79,78,2509207,157,156,6396,3900,0.6097560975609756
1170000000,237,79,79,2509207,158,158,6478,3950,0.6097560975609756
1180000000,239,80,80,2509207,160,159,6544,4000,0.6112469437652812
1190000000,241,81,80,2509207,161,160,6560,4000,0.6097560975609756
1200000000,243,81,81,2509207,162,162,6642,4050,0.6097560975609756
1210000000,245,82,82,2509207,164,163,6708,4100,0.6112104949314252
1220000000,246,82,82,2509207,164,164,6724,4100,0.6097560975609756
1230000000,249,83,83,2509207,166,166,6806,4150,0.6097560975609756
1240000000,252,84,84,2509207,168,168,6888,4200,0.6097560975609756
1250000000,253,85,84,2509207,169,168,6888,4200,0.6097560975609756
1260000000,255,85,85,2509207,170,170,6970,4250,0.6097560975609756
1270000000,258,86,86,2509207,172,172,7052,4300,0.6097560975609756
1280000000,259,87,86,2509207,173,172,7052,4300,0.6097560975609756
1290000000,261,87,87,2509207,174,174,7134,4350,0.6097560975609756
1300000000,264,88,88,2509207,176,176,7216,4400,0.6097560975609756
1310000000,265,89,88,2509207,177,176,7216,4400,0.6097560975609756
1320000000,267,89,89,2509207,178,178,7298,4450,0.6097560975609756
1330000000,270,90,90,2509207,180,180,7380,4500,0.6097560975609756
1340000000,273,91,91,2509207,182,182,7462,4550,0.6097560975609756
1350000000,273,91,91,2509207,182,182,7462,4550,0.6097560975609756
1360000000,276,92,92,2509207,184,184,7544,4600,0.6097560975609756
1370000000,276,92,92,2509207,184,184,7544,4600,0.6097560975609756
1380000000,279,93,93,2509207,186,186,7626,4650,0.6097560975609756
1390000000,281,94,94,2509207,188,187,7692,4700,0.6110244409776391
1400000000,283,95,94,2509207,189,188,7708,4700,0.6097560975609756
1410000000,285,95,95,2509207,190,190,7790,4750,0.6097560975609756
1420000000,288,96,96,2509207,192,192,7872,4800,0.6097560975609756
1430000000,291,97,97,2509207,194,194,7954,4850,0.6097560975609756
1440000000,292,98,97,2509207,195,194,7954,4850,0.6097560975609756
1450000000,295,99,98,2509207,197,196,8036,4900,0.6097560975609756
1460000000,297,99,99,2509207,198,198,8118,4950,0.6097560975609756
1470000000,299,100,100,2509207,200,199,8184,5000,0.6109481915933529
1480000000,300,100,100,2509207,200,200,8200,5000,0.6097560975609756
1490000000,303,101,101,2509207,202,202,8282,5050,0.6097560975609756
1500000000,305,102,102,2509207,204,203,8348,5100,0.610924772400575
1510000000,306,102,102,2509207,204,204,8364,5100,0.6097560975609756
1520000000,309,103,103,2509207,206,206,8446,5150,0.6097560975609756
1530000000,309,103,103,2509207,206,206,8446,5150,0.6097560975609756
1540000000,312,104,104,2509207,208,208,8528,5200,0.6097560975609756
1550000000,313,105,104,2509207,209,208,8528,5200,0.6097560975609756
1560000000,315,105,105,2509207,210,210,8610,5250,0.6097560975609756
1570000000,318,106,106,2509207,212,212,8692,5300,0.6097560975609756
1580000000,319,107,106,2509207,213,212,8692,5300,0.6097560975609756
1590000000,321,107,107,2509207,214,214,8774,5350,0.6097560975609756
1600000000,323,108,108,2509207,216,215,8840,5400,0.6108597285067874
1610000000,325,109,108,2509207,217,216,8856,5400,0.6097560975609756
1620000000,327,109,109,2509207,218,218,8938,5450,0.6097560975609756
1630000000,330,110,110,2509207,220,220,9020,5500,0.6097560975609756
1640000000,332,111,111,2509207,222,221,9086,5550,0.6108298481179837
1650000000,333,111,111,2509207,222,222,9102,5550,0.6097560975609756
1660000000,336,112,112,2509207,224,224,9184,5600,0.6097560975609756
1670000000,337,113,112,2509207,225,224,9184,5600,0.6097560975609756
1680000000,339,113,113,2509207,226,226,9266,5650,0.6097560975609756
1690000000,342,114,114,2509207,228,228,9348,5700,0.6097560975609756
1700000000,342,114,114,2509207,228,228,9348,5700,0.6097560975609756
1710000000,345,115,115,2509207,230,230,9430,5750,0.6097560975609756
1720000000,348,116,116,2509207,232,232,9512,5800,0.6097560975609756
1730000000,348,116,116,2509207,232,232,9512,5800,0.6097560975609756
1740000000,351,117,117,2509207,234,234,9594,5850,0.6097560975609756
1750000000,353,118,118,2509207,236,235,9660,5900,0.6107660455486542
1760000000,355,119,118,2509207,237,236,9676,5900,0.6097560975609756
1770000000,357,119,119,2509207,238,238,9758,5950,0.6097560975609756
1780000000,360,120,120,2509207,240,240,9840,6000,0.6097560975609756
1790000000,362,121,121,2509207,242,241,9906,6050,0.6107409650716737
1800000000,364,122,121,2509207,243,242,9922,6050,0.6097560975609756
1810000000,366,122,122,2509207,244,244,10004,6100,0.6097560975609756
1820000000,368,123,123,2509207,246,245,10070,6150,0.6107249255213505
1830000000,369,123,123,2509207,246,246,10086,6150,0.6097560975609756
1840000000,372,124,124,2509207,248,248,10168,6200,0.6097560975609756
1850000000,374,125,125,2509207,250,249,10234,6250,0.6107094000390854
1860000000,375,125,125,2509207,250,250,10250,6250,0.6097560975609756
1870000000,378,126,126,2509207,252,252,10332,6300,0.6097560975609756
1880000000,379,127,126,2509207,253,252,10332,6300,0.6097560975609756
1890000000,381,127,127,2509207,254,254,10414,6350,0.6097560975609756
1900000000,384,128,128,2509207,256,256,10496,6400,0.6097560975609756
1910000000,385,129,128,2509207,257,256,10496,6400,0.6097560975609756
1920000000,387,129,129,2509207,258,258,10578,6450,0.6097560975609756
1930000000,389,130,130,2509207,260,259,10644,6500,0.6106726794438181
1940000000,391,131,130,2509207,261,260,10660,6500,0.6097560975609756
1950000000,393,131,131,2509207,262,262,10742,6550,0.6097560975609756
1960000000,395,132,132,2509207,264,263,10808,6600,0.6106587712805329
1970000000,397,133,132,2509207,265,264,10824,6600,0.6097560975609756
1980000000,399,133,133,2509207,266,266,10906,6650,0.6097560975609756
1990000000,401,134,134,2509207,268,267,10972,6700,0.6106452788917244
2000000000,402,134,134,2509207,268,268,10988,6700,0.6097560975609756
2010000000,405,135,135,2509207,270,270,11070,6750,0.6097560975609756
2020000000,406,136,135,2509207,271,270,11070,6750,0.6097560975609756
2030000000,408,136,136,2509207,272,272,11152,6800,0.6097560975609756
2040000000,411,137,137,2509207,274,274,11234,6850,0.6097560975609756
2050000000,411,137,137,2509207,274,274,11234,6850,0.6097560975609756
2060000000,414,138,138,2509207,276,276,11316,6900,0.6097560975609756
2070000000,417,139,139,2509207,278,278,11398,6950,0.6097560975609756
2080000000,417,139,139,2509207,278,278,11398,6950,0.6097560975609756
2090000000,420,140,140,2509207,280,280,11480,7000,0.6097560975609756
2100000000,421,141,140,2509207,281,280,11480,7000,0.6097560975609756
2110000000,423,141,141,2509207,282,282,11562,7050,0.6097560975609756
2120000000,425,142,142,2509207,284,283,11628,7100,0.6105951152390781
2130000000,426,142,142,2509207,284,284,11644,7100,0.6097560975609756
2140000000,429,143,143,2509207,286,286,11726,7150,0.6097560975609756
2150000000,432,144,144,2509207,288,288,11808,7200,0.6097560975609756
2160000000,433,145,144,2509207,289,288,11808,7200,0.6097560975609756
2170000000,435,145,145,2509207,290,290,11890,7250,0.6097560975609756
2180000000,438,146,146,2509207,292,292,11972,7300,0.6097560975609756
2190000000,438,146,146,2509207,292,292,11972,7300,0.6097560975609756
2200000000,441,147,147,2509207,294,294,12054,7350,0.6097560975609756
2210000000,442,148,147,2509207,295,294,12054,7350,0.6097560975609756
2220000000,444,148,148,2509207,296,296,12136,7400,0.6097560975609756
2230000000,447,149,149,2509207,298,298,12218,7450,0.6097560975609756
2240000000,449,150,150,2509207,300,299,12284,7500,0.61055030934549
2250000000,450,150,150,2509207,300,300,12300,7500,0.6097560975609756
2260000000,453,151,151,2509207,302,302,12382,7550,0.6097560975609756
2270000000,456,152,152,2509207,304,304,12464,7600,0.6097560975609756
2280000000,457,153,152,2509207,305,304,12464,7600,0.6097560975609756
2290000000,459,153,153,2509207,306,306,12546,7650,0.6097560975609756
2300000000,462,154,154,2509207,308,308,12628,7700,0.6097560975609756
2310000000,463,155,154,2509207,309,308,12628,7700,0.6097560975609756
2320000000,465,155,155,2509207,310,310,12710,7750,0.6097560975609756
2330000000,468,156,156,2509207,312,312,12792,7800,0.6097560975609756
2340000000,470,157,157,2509207,314,313,12858,7850,0.6105148545652512
2350000000,471,157,157,2509207,314,314,12874,7850,0.6097560975609756
2360000000,474,158,158,2509207,316,316,12956,7900,0.6097560975609756
2370000000,475,159,158,2509207,317,316,12956,7900,0.6097560975609756
2380000000,477,159,159,2509207,318,318,13038,7950,0.6097560975609756
2390000000,480,160,160,2509207,320,320,13120,8000,0.6097560975609756
2400000000,481,161,160,2509207,321,320,13120,8000,0.6097560975609756
2410000000,483,161,161,2509207,322,322,13202,8050,0.6097560975609756
2420000000,485,162,162,2509207,324,323,13268,8100,0.6104914078987036
2430000000,487,163,162,2509207,325,324,13284,8100,0.6097560975609756
2440000000,489,163,163,2509207,326,326,13366,8150,0.6097560975609756
2450000000,492,164,164,2509207,328,328,13448,8200,0.6097560975609756
2460000000,493,165,164,2509207,329,328,13448,8200,0.6097560975609756
2470000000,495,165,165,2509207,330,330,13530,8250,0.6097560975609756
2480000000,498,166,166,2509207,332,332,13612,8300,0.6097560975609756
2490000000,498,166,166,2509207,332,332,13612,8300,0.6097560975609756
2500000000,501,167,167,2509207,334,334,13694,8350,0.6097560975609756
2510000000,503,168,168,2509207,336,335,13760,8400,0.6104651162790697
2520000000,505,169,168,2509207,337,336,13776,8400,0.6097560975609756
2530000000,507,169,169,2509207,338,338,13858,8450,0.6097560975609756
2540000000,509,170,170,2509207,340,339,13924,8500,0.6104567652973284
2550000000,510,170,170,2509207,340,340,13940,8500,0.6097560975609756
2560000000,513,171,171,2509207,342,342,14022,8550,0.6097560975609756
2570000000,514,172,171,2509207,343,342,14022,8550,0.6097560975609756
2580000000,516,172,172,2509207,344,344,14104,8600,0.6097560975609756
