Time (usec),Events Raised,Messages Generated,Messages Delivered,Average Delivery Time (usec),Frames Transmitted,Frames Received,Bytes Received (Physical),Bytes Received (Application),Efficiency (AL/PL)
10000000,5,2,2,2509207,4,3,148,100,0.6756756756756757
20000000,8,3,3,2509207,6,5,230,150,0.6521739130434783
30000000,13,4,4,2509207,10,8,378,200,0.5291005291005291
40000000,16,4,4,2509207,12,10,460,200,0.43478260869565216
50000000,20,6,5,2509207,15,12,542,250,0.4612546125461255
60000000,24,7,6,3763794,18,14,624,300,0.4807692307692308
70000000,28,8,8,3450147,21,17,772,400,0.5181347150259067
80000000,33,10,9,3345598,24,20,870,450,0.5172413793103449
90000000,39,12,11,3193527,28,24,1034,550,0.5319148936170213
100000000,43,13,13,3088247,31,27,1182,650,0.5499153976311336
110000000,48,15,14,3046887,34,30,1280,700,0.546875
120000000,53,16,16,2979677,37,34,1444,800,0.554016620498615
130000000,58,18,18,2927402,41,37,1592,900,0.5653266331658291
140000000,63,20,19,2905392,44,40,1690,950,0.5621301775147929
150000000,68,21,21,2867660,47,44,1854,1050,0.5663430420711975
160000000,73,23,23,2836490,51,47,2002,1150,0.5744255744255744
170000000,78,25,24,2822853,54,50,2100,1200,0.5714285714285714
180000000,83,26,26,2798727,57,54,2264,1300,0.5742049469964664
190000000,88,28,28,2778047,61,57,2412,1400,0.5804311774461028
200000000,93,30,29,2768776,64,60,2510,1450,0.5776892430278885
210000000,95,30,30,3011041,66,61,2576,1500,0.5822981366459627
220000000,99,31,30,3011041,69,63,2658,1500,0.5643340857787811
230000000,103,32,32,2979677,72,66,2806,1600,0.5702066999287242
240000000,109,34,34,2952002,76,70,2970,1700,0.5723905723905723
250000000,114,36,35,2939351,79,73,3068,1750,0.5704041720990873
260000000,116,36,36,3136500,81,74,3134,1800,0.574345883854499
270000000,119,36,36,3136500,83,76,3216,1800,0.5597014925373134
280000000,124,38,38,3103485,87,79,3364,1900,0.5648038049940547
290000000,129,40,39,3088247,90,82,3462,1950,0.5632582322357019
300000000,135,42,41,3060001,94,86,3626,2050,0.5653612796469939
310000000,139,43,43,3034382,97,89,3774,2150,0.5696873343932167
320000000,144,45,44,3022447,100,92,3872,2200,0.5681818181818182
330000000,146,45,45,3178320,102,93,3938,2250,0.5713560182833926
340000000,152,47,47,3149847,106,97,4102,2350,0.5728912725499756
350000000,157,49,48,3136500,109,100,4200,2400,0.5714285714285714
360000000,160,50,49,3123698,111,102,4282,2450,0.572162540868753
370000000,162,50,50,3261959,113,103,4348,2500,0.5749770009199632
380000000,167,51,51,3247199,117,106,4496,2550,0.5671708185053381
390000000,172,53,52,3233007,120,109,4594,2600,0.5659555942533739
400000000,177,54,54,3206199,123,113,4758,2700,0.5674653215636822
410000000,182,56,56,3181307,127,116,4906,2800,0.5707297187117815
420000000,187,58,57,3169515,130,119,5004,2850,0.5695443645083933
430000000,191,59,59,3147132,133,122,5152,2950,0.5725931677018633
440000000,197,61,61,3126217,137,126,5316,3050,0.5737396538750941
450000000,200,62,62,3116265,139,128,5398,3100,0.574286772878844
460000000,205,63,63,3106629,143,131,5546,3150,0.567976920302921
470000000,210,65,64,3097294,146,134,5644,3200,0.5669737774627923
480000000,213,66,65,3088247,148,136,5726,3250,0.5675864477820468
490000000,217,67,66,3193527,151,138,5808,3300,0.5681818181818182
500000000,222,68,68,3173400,154,142,5972,3400,0.5693235097119893
510000000,226,70,69,3163774,157,144,6054,3450,0.5698711595639246
520000000,229,70,70,3261959,159,146,6136,3500,0.5704041720990873
530000000,234,72,72,3241049,163,149,6284,3600,0.5728835136855506
540000000,237,73,73,3231024,165,151,6366,3650,0.5733584668551681
550000000,242,74,74,3221269,169,154,6514,3700,0.5680073687442432
