2025-05-19 22:45:12,209 [INFO] [DEBUG1] opponent_conn exists: <socket.socket fd=12, family=2, type=1, proto=0, laddr=('127.0.0.1', 5050), raddr=('127.0.0.1', 65524)>
2025-05-19 22:45:17,632 [INFO] [DEBUG1] opponent_conn exists: <socket.socket fd=10, family=2, type=1, proto=0, laddr=('127.0.0.1', 5050), raddr=('127.0.0.1', 65501)>
2025-05-19 22:45:25,111 [INFO] [DEBUG1] opponent_conn exists: <socket.socket fd=9, family=2, type=1, proto=0, laddr=('127.0.0.1', 5050), raddr=('127.0.0.1', 65500)>
2025-05-19 22:45:28,782 [INFO] [DEBUG1] opponent_conn exists: <socket.socket fd=9, family=2, type=1, proto=0, laddr=('127.0.0.1', 5050), raddr=('127.0.0.1', 65500)>
2025-05-19 22:45:32,025 [INFO] [DEBUG1] opponent_conn exists: <socket.socket fd=9, family=2, type=1, proto=0, laddr=('127.0.0.1', 5050), raddr=('127.0.0.1', 65500)>
2025-05-19 22:45:36,846 [INFO] [DEBUG1] opponent_conn exists: <socket.socket fd=9, family=2, type=1, proto=0, laddr=('127.0.0.1', 5050), raddr=('127.0.0.1', 65500)>
2025-05-19 22:45:39,472 [INFO] [DEBUG1] opponent_conn exists: <socket.socket fd=9, family=2, type=1, proto=0, laddr=('127.0.0.1', 5050), raddr=('127.0.0.1', 65500)>
2025-05-19 22:45:44,462 [INFO] [DEBUG1] opponent_conn exists: <socket.socket fd=10, family=2, type=1, proto=0, laddr=('127.0.0.1', 5050), raddr=('127.0.0.1', 65501)>
2025-05-19 22:45:57,112 [INFO] [DEBUG1] opponent_conn exists: <socket.socket fd=9, family=2, type=1, proto=0, laddr=('127.0.0.1', 5050), raddr=('127.0.0.1', 65500)>
2025-05-19 22:45:59,407 [INFO] [DEBUG1] opponent_conn exists: <socket.socket fd=10, family=2, type=1, proto=0, laddr=('127.0.0.1', 5050), raddr=('127.0.0.1', 65501)>
