Time (usec),Events Raised,Messages Generated,Messages Delivered,Average Delivery Time (usec),Frames Transmitted,Frames Received,Bytes Received (Physical),Bytes Received (Application),Efficiency (AL/PL)
10000000,10,3,2,2508370,6,4,140,100,0.7142857142857143
20000000,21,5,4,2508370,11,10,400,200,0.5
30000000,26,6,4,2508370,13,13,530,200,0.37735849056603776
40000000,36,8,6,6270880,19,17,670,300,0.44776119402985076
50000000,47,10,10,4765876,24,23,930,500,0.5376344086021505
60000000,57,12,12,4389625,29,28,1080,600,0.5555555555555556
70000000,67,13,13,4244913,34,33,1230,650,0.5284552845528455
80000000,79,16,16,3919311,40,39,1490,800,0.5369127516778524
90000000,89,18,18,3762540,45,44,1640,900,0.5487804878048781
