Time (usec),Events Raised,Messages Generated,Messages Delivered,Average Delivery Time (usec),Frames Transmitted,Frames Received,Frame Collisions,Bytes Received (Physical),Bytes Received (Application),Efficiency (AL/PL)
10000000,3415,0,0,0,698,1974,20,1453125,0,0.0
20000000,7271,0,0,0,1491,4179,49,3062433,0,0.0
30000000,11119,0,0,0,2290,6348,87,4672065,0,0.0
40000000,14977,0,0,0,3084,8556,116,6365859,0,0.0
50000000,18622,0,0,0,3828,10670,136,7927499,0,0.0
60000000,22452,0,0,0,4612,12884,159,9593825,0,0.0
70000000,26395,0,0,0,5417,15173,180,11338826,0,0.0
80000000,30104,0,0,0,6180,17299,207,12912612,0,0.0
90000000,33945,0,0,0,6965,19517,230,14597231,0,0.0
