Time (usec),Events Raised,Messages Generated,Messages Delivered,Average Delivery Time (usec),Frames Transmitted,Frames Received,Frame Collisions,Bytes Received (Physical),Bytes Received (Application),Efficiency (AL/PL)
10000000,32417,0,0,0,6309,17370,264,13291827,0,0.0
20000000,68703,0,0,0,13357,36861,546,28201203,0,0.0
30000000,104964,0,0,0,20420,56322,842,43031049,0,0.0
40000000,141102,0,0,0,27454,75618,1149,57627192,0,0.0
50000000,177333,0,0,0,34494,95052,1441,72348408,0,0.0
60000000,213557,0,0,0,41535,114468,1733,87045450,0,0.0
70000000,249362,0,0,0,48504,133671,2026,101721564,0,0.0
80000000,285594,0,0,0,55538,153219,2289,116422818,0,0.0
90000000,321696,0,0,0,62541,172755,2541,131300367,0,0.0
