Time (usec),Events Raised,Messages Generated,Messages Delivered,Average Delivery Time (usec),Frames Transmitted,Frames Received,Frame Collisions,Bytes Received (Physical),Bytes Received (Application),Efficiency (AL/PL)
10000000,171686,0,0,0,57980,9989,30314,1875985,0,0.0
20000000,362587,0,0,0,122445,21350,63992,3967835,0,0.0
30000000,553132,0,0,0,186708,32694,97544,6059367,0,0.0
40000000,744067,0,0,0,251126,44175,131192,8206518,0,0.0
50000000,935153,0,0,0,315572,55698,164830,10358476,0,0.0
60000000,1125960,0,0,0,379920,67294,198416,12503369,0,0.0
70000000,1316690,0,0,0,444235,78905,231959,14689268,0,0.0
80000000,1508348,0,0,0,508940,90183,265795,16819209,0,0.0
90000000,1698830,0,0,0,573206,101565,299388,18960240,0,0.0
