Time (usec),Events Raised,Messages Generated,Messages Delivered,Average Delivery Time (usec),Frames Transmitted,Frames Received,Frame Collisions,Bytes Received (Physical),Bytes Received (Application),Efficiency (AL/PL)
10000000,53718,0,0,0,7187,18516,517,14269014,0,0.0
20000000,112085,0,0,0,15111,39192,1046,30172191,0,0.0
30000000,171038,0,0,0,23066,59880,1591,46024833,0,0.0
40000000,230417,0,0,0,31127,80655,2169,61917327,0,0.0
50000000,290661,0,0,0,39268,101508,2787,77823291,0,0.0
60000000,348574,0,0,0,47075,121893,3302,93564702,0,0.0
70000000,407569,0,0,0,55081,142677,3855,109343130,0,0.0
80000000,464922,0,0,0,62917,163011,4397,124826742,0,0.0
90000000,524265,0,0,0,70911,183561,4984,140650590,0,0.0
