Time (usec),Events Raised,Messages Generated,Messages Delivered,Average Delivery Time (usec),Frames Transmitted,Frames Received,Frame Collisions,Bytes Received (Physical),Bytes Received (Application),Efficiency (AL/PL)
10000000,27423,0,0,0,6695,10835,1558,7358560,0,0.0
20000000,58093,0,0,0,14114,23242,3217,15636806,0,0.0
30000000,88920,0,0,0,21563,35761,4870,24198272,0,0.0
40000000,119499,0,0,0,28978,48061,6548,32512025,0,0.0
50000000,150448,0,0,0,36490,60469,8253,40698185,0,0.0
60000000,180686,0,0,0,43834,72609,9927,48826056,0,0.0
70000000,211225,0,0,0,51214,84945,11576,57033310,0,0.0
80000000,241785,0,0,0,58625,97200,13259,65318489,0,0.0
90000000,272207,0,0,0,66026,109358,14955,73523550,0,0.0
